baseline,n_clusters,n_clusters_target,label,n_labeled,purity,nmi,ari
full_features,10,10,label_safe_unsafe,875,0.6857142857142857,0.08670444732745798,0.03626149594330072
full_features,10,10,label_mistake_agent,470,0.7595744680851064,0.44405577411415365,0.24562428388789312
full_features,10,10,label_unsafe_source,470,0.8914893617021277,0.2647446053705459,0.16699425157474665
random,10,10,label_safe_unsafe,875,0.5565714285714286,0.0037676253421073127,0.0002763533664296125
random,10,10,label_mistake_agent,470,0.5063829787234042,0.04698680406898096,-0.0017732096981106624
random,10,10,label_unsafe_source,470,0.6851063829787234,0.005177823989628683,-0.0020432993500237692
quantile:n_iters,7,10,label_safe_unsafe,875,0.5942857142857143,0.03310465659001003,0.011139187714860724
quantile:n_iters,7,10,label_mistake_agent,470,0.6042553191489362,0.2903252042676783,0.16557218722307712
quantile:n_iters,7,10,label_unsafe_source,470,0.7191489361702128,0.06500401863875326,0.013385958558417644
quantile:total_tool_calls,7,10,label_safe_unsafe,875,0.6411428571428571,0.038345077329594135,0.028921918400728656
quantile:total_tool_calls,7,10,label_mistake_agent,470,0.7042553191489361,0.3098607028003229,0.18169216857459253
quantile:total_tool_calls,7,10,label_unsafe_source,470,0.7723404255319148,0.15184525013581915,0.07460107045713948
quantile:retry_burst_max,3,10,label_safe_unsafe,875,0.5588571428571428,0.007386270198834982,0.005936841912930462
quantile:retry_burst_max,3,10,label_mistake_agent,470,0.5829787234042553,0.24628868729991438,0.24277397327379685
quantile:retry_burst_max,3,10,label_unsafe_source,470,0.6851063829787234,0.08982050541956452,-0.08080544141452772
quantile:tool_transition_entropy,6,10,label_safe_unsafe,875,0.6617142857142857,0.05945649207021016,0.05740558120488017
quantile:tool_transition_entropy,6,10,label_mistake_agent,470,0.7191489361702128,0.36317824313123176,0.40116530271164064
quantile:tool_transition_entropy,6,10,label_unsafe_source,470,0.8638297872340426,0.2968139884221709,0.17165487412424227
