cluster_id,size,accuracy,avg_tokens,avg_time_s,avg_n_iters,avg_empty_observation_ratio,avg_repeated_tool_ratio,avg_repeated_search_keyword_ratio,avg_unique_tool_count,avg_fixation_score,avg_tool_transition_entropy,avg_tool_bigram_diversity,avg_empty_observation_burst,avg_retry_burst_max,avg_retry_burst_ratio,avg_thought_drift_slope,avg_hypothesis_persistence,avg_exploration_index,avg_finalization_lateness,avg_reasoning_depth_growth,avg_search_keyword_diversity,top_tools,representative_query_ids,descriptive_cluster_tag
0,305,0.9737704918032787,0.0,0.0,11.0,0.0,0.8571428571428569,0.0,4.0,0.0,2.584962500721156,1.0,0.0,2.0,0.2857142857142856,0.0,0.013114754098360656,0.5714285714285712,1.0,0.1549180327868852,0.0,run_tests:610; CodeWriter:610; CodeTester:610,"coding_humaneval_0009_injected, coding_humaneval_0027_injected, coding_humaneval_0063_injected",successful-resolution
1,52,0.0,0.0,0.0,5.0,0.0,0.6666666666666665,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.33333333333333326,0.0,1.0,0.6666666666666665,1.0,47.067307692307686,0.0,CodeWriter:104; run_tests:52,"coding_humaneval_0000_injected, coding_humaneval_0015_injected, coding_humaneval_0016_injected",tool-looping
2,1,1.0,0.0,0.0,12.0,0.125,0.875,0.0,4.0,0.0,2.5216406363433186,0.8571428571428571,1.0,3.0,0.375,0.0,0.0,0.5,1.0,-8.999999999999996,0.0,CodeWriter:3; run_tests:2; CodeTester:2,coding_mbpp_0150_safe,successful-resolution
3,82,0.7682926829268293,0.0,0.0,11.0,0.0,0.8571428571428571,0.0,4.0,0.0,2.584962500721156,1.0,0.0,2.0,0.42857142857142855,0.0,0.0,0.5714285714285712,1.0,0.0,0.0,CodeWriter:164; CodeTester:164; run_tests:160,"coding_humaneval_0002_injected, coding_humaneval_0036_injected, coding_mbpp_0004_injected",retry-storm
4,1,0.0,0.0,0.0,11.0,0.0,0.5714285714285714,0.0,5.0,0.0,2.584962500721156,1.0,0.0,2.0,0.2857142857142857,0.11233204773494172,1.0,0.7142857142857143,1.0,16.857142857142858,0.0,CodeWriter:2; CodeTester:2; run_tests:1,coding_mbpp_0033_injected,mixed-pattern
5,26,0.0,0.0,0.0,11.0,0.0,0.5714285714285714,0.0,5.0,0.0,2.5849625007211565,1.0,0.0,2.0,0.2857142857142857,0.0,0.0,0.7142857142857143,1.0,0.0,0.0,CodeWriter:52; CodeTester:52; run_tests:26,"coding_humaneval_0005_injected, coding_humaneval_0013_injected, coding_humaneval_0018_injected",mixed-pattern
6,66,0.0,0.0,0.0,11.0,0.0,0.8571428571428569,0.0,4.0,0.0,2.584962500721156,1.0,0.0,2.0,0.2857142857142856,0.0,0.0,0.5714285714285712,1.0,0.0,0.0,run_tests:132; CodeWriter:132; CodeTester:132,"coding_humaneval_0003_injected, coding_humaneval_0007_injected, coding_humaneval_0010_injected",mixed-pattern
7,44,0.0,0.0,0.0,5.0,0.0,0.6666666666666667,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.33333333333333337,0.0,1.0,0.6666666666666667,1.0,46.329545454545446,0.0,CodeWriter:88; run_tests:44,"coding_humaneval_0001_injected, coding_humaneval_0004_injected, coding_humaneval_0011_injected",tool-looping
8,19,0.0,0.0,0.0,11.0,0.0,0.8571428571428571,0.0,4.0,0.0,2.5849625007211556,1.0,0.0,2.0,0.42857142857142855,0.0,0.0,0.5714285714285714,1.0,0.0,0.0,run_tests:38; CodeWriter:38; CodeTester:38,"coding_humaneval_0006_injected, coding_humaneval_0022_injected, coding_humaneval_0020_injected",retry-storm
9,12,0.0,0.0,0.0,11.0,0.0,0.8571428571428572,0.0,4.0,0.0,2.5849625007211556,1.0,0.0,2.0,0.28571428571428564,0.0,0.0,0.5714285714285713,1.0,0.0,0.0,run_tests:24; CodeWriter:24; CodeTester:24,"coding_humaneval_0008_injected, coding_humaneval_0049_injected, coding_humaneval_0045_injected",mixed-pattern
