baseline,n_clusters,n_clusters_target,label,n_labeled,purity,nmi,ari
full_features,12,12,label_safe_unsafe,2276,0.6502636203866432,0.07112498507737378,0.029568907740001458
full_features,11,12,label_mistake_agent,1114,0.5682226211849192,0.5423303006869751,0.3176403518918142
full_features,11,12,label_unsafe_source,1114,0.9093357271095153,0.3109689345135316,0.24777796890274245
full_features,12,12,label_domain,2276,0.8264499121265377,0.4922352525957545,0.3365071925159206
random,12,12,label_safe_unsafe,2276,0.5351493848857645,0.00222942541786539,0.00038612420791319404
random,12,12,label_mistake_agent,1114,0.2791741472172352,0.024258026882216795,-0.0012979996502303227
random,12,12,label_unsafe_source,1114,0.6535008976660682,0.0026942532136805812,-0.00018211535540409732
random,12,12,label_domain,2276,0.38927943760984185,0.0013963639666876955,-0.000754541486260087
quantile:n_iters,8,12,label_safe_unsafe,2276,0.6155536028119508,0.03865474656048454,0.024389237799871153
quantile:n_iters,8,12,label_mistake_agent,1114,0.4524236983842011,0.36036329852199206,0.19362859286965287
quantile:n_iters,8,12,label_unsafe_source,1114,0.7612208258527827,0.09858173286239653,0.10703270834640338
quantile:n_iters,8,12,label_domain,2276,0.7583479789103691,0.33181892531035645,0.2183916333130134
quantile:total_tool_calls,8,12,label_safe_unsafe,2276,0.6348857644991213,0.04533428974597108,0.026030109720341896
quantile:total_tool_calls,8,12,label_mistake_agent,1114,0.4829443447037702,0.3715160739667017,0.21330295913956118
quantile:total_tool_calls,8,12,label_unsafe_source,1114,0.7899461400359067,0.140344016004586,0.12560403453359595
quantile:total_tool_calls,8,12,label_domain,2276,0.7675746924428822,0.3379619893931035,0.22806141774709213
quantile:retry_burst_max,5,12,label_safe_unsafe,2276,0.5514059753954306,0.008635462037174997,0.005485123360522737
quantile:retry_burst_max,5,12,label_mistake_agent,1114,0.34560143626570916,0.1964006345880794,0.05441508103859095
quantile:retry_burst_max,5,12,label_unsafe_source,1114,0.6858168761220825,0.03143997836225464,0.060488168210419205
quantile:retry_burst_max,5,12,label_domain,2276,0.569859402460457,0.23566654021885586,0.147441141144005
quantile:tool_transition_entropy,8,12,label_safe_unsafe,2276,0.6322495606326889,0.057454343522362845,0.03668973313308811
quantile:tool_transition_entropy,8,12,label_mistake_agent,1114,0.5161579892280072,0.42907126870140927,0.276653173016738
quantile:tool_transition_entropy,8,12,label_unsafe_source,1114,0.8833034111310593,0.2597197982491895,0.21447785386605253
quantile:tool_transition_entropy,8,12,label_domain,2276,0.7495606326889279,0.37178320708810947,0.29203550529768996
oracle:label_domain,3,12,label_safe_unsafe,2276,0.539543057996485,0.006249408736641819,0.005769306767446206
oracle:label_domain,3,12,label_mistake_agent,1114,0.6077199281867145,0.70194082632827,0.5467366867215175
oracle:label_domain,3,12,label_unsafe_source,1114,0.8096947935368043,0.2630277737604543,0.190875407087588
oracle:label_domain,3,12,label_domain,2276,1.0,1.0,1.0
