baseline,n_clusters,n_clusters_target,label,n_labeled,purity,nmi,ari
full_features,8,8,label_safe_unsafe,793,0.7515762925598991,0.18898110993378214,0.12726394678979122
full_features,7,8,label_mistake_agent,397,0.7808564231738035,0.08600625842814083,0.04894760181329205
full_features,7,8,label_unsafe_source,397,0.8690176322418136,0.1536310426156047,0.09944490924745339
random,8,8,label_safe_unsafe,793,0.5359394703656999,0.0025812817691393004,-0.00048331877757762625
random,8,8,label_mistake_agent,397,0.7808564231738035,0.01634629244112888,0.0014614928025149226
random,8,8,label_unsafe_source,397,0.8387909319899244,0.005701796842690021,0.0005378426337116226
quantile:n_iters,7,8,label_safe_unsafe,793,0.6986128625472888,0.09126918041442361,0.09287323357646579
quantile:n_iters,7,8,label_mistake_agent,397,0.801007556675063,0.09648796173394777,0.15024257253448267
quantile:n_iters,7,8,label_unsafe_source,397,0.8740554156171285,0.14544440811576134,0.1733761292188411
quantile:total_tool_calls,7,8,label_safe_unsafe,793,0.6986128625472888,0.09120586966892011,0.0927712600630151
quantile:total_tool_calls,7,8,label_mistake_agent,397,0.801007556675063,0.09639630564586323,0.1502192498266476
quantile:total_tool_calls,7,8,label_unsafe_source,397,0.8765743073047859,0.14691478690834825,0.17376543802547742
quantile:retry_burst_max,4,8,label_safe_unsafe,793,0.5989911727616646,0.023676985087714528,0.02529757464031605
quantile:retry_burst_max,4,8,label_mistake_agent,397,0.7808564231738035,0.0412755984810375,0.06857925692148698
quantile:retry_burst_max,4,8,label_unsafe_source,397,0.8614609571788413,0.11840576117463376,0.2657023730806077
quantile:tool_transition_entropy,7,8,label_safe_unsafe,793,0.669609079445145,0.07606245131455461,0.05235308874864677
quantile:tool_transition_entropy,7,8,label_mistake_agent,397,0.7808564231738035,0.07147890868322973,0.05922908307911791
quantile:tool_transition_entropy,7,8,label_unsafe_source,397,0.8564231738035264,0.061722660272030334,0.06305072423046039
