baseline,n_clusters,n_clusters_target,label,n_labeled,purity,nmi,ari
full_features,3,3,label_task_type,200,0.74,0.536634880843637,0.43383724209728863
full_features,3,3,label_llm_model,200,0.475,0.060303654649125155,0.03036588179488853
full_features,3,3,label_critical_failure_module,200,0.37,0.18179991833280054,0.09517948824461284
full_features,3,3,label_failure_type_first,173,0.24855491329479767,0.11630662159773361,-0.01145411300772356
full_features,3,3,label_failure_module_first,200,0.37,0.18179991833280054,0.09517948824461284
random,3,3,label_task_type,200,0.5,0.024742891134897946,0.010069464390662078
random,3,3,label_llm_model,200,0.41,0.013865202008059156,0.002213930636229693
random,3,3,label_critical_failure_module,200,0.26,0.01681964732589968,-0.0023100066896272857
random,3,3,label_failure_type_first,173,0.24855491329479767,0.05436788377886738,-0.0018012135225829427
random,3,3,label_failure_module_first,200,0.26,0.01681964732589968,-0.0023100066896272857
quantile:n_iters,1,3,label_task_type,200,0.5,0.0,0.0
quantile:n_iters,1,3,label_llm_model,200,0.405,0.0,0.0
quantile:n_iters,1,3,label_critical_failure_module,200,0.245,0.0,0.0
quantile:n_iters,1,3,label_failure_type_first,173,0.24855491329479767,0.0,0.0
quantile:n_iters,1,3,label_failure_module_first,200,0.245,0.0,0.0
quantile:total_tool_calls,2,3,label_task_type,200,0.585,0.11434723969896946,0.16305561627842138
quantile:total_tool_calls,2,3,label_llm_model,200,0.505,0.08084755161869227,0.09810462180621515
quantile:total_tool_calls,2,3,label_critical_failure_module,200,0.295,0.05537783215605621,0.039293291396740565
quantile:total_tool_calls,2,3,label_failure_type_first,173,0.24855491329479767,0.047370366204924026,0.0006796257663779777
quantile:total_tool_calls,2,3,label_failure_module_first,200,0.295,0.05537783215605621,0.039293291396740565
quantile:retry_burst_max,3,3,label_task_type,200,0.57,0.13567429210445248,0.1134585579393731
quantile:retry_burst_max,3,3,label_llm_model,200,0.56,0.12528406131995096,0.12534716302432056
quantile:retry_burst_max,3,3,label_critical_failure_module,200,0.29,0.04719403483014971,0.023279141891397542
quantile:retry_burst_max,3,3,label_failure_type_first,173,0.24855491329479767,0.1019132147110653,0.004417682014159164
quantile:retry_burst_max,3,3,label_failure_module_first,200,0.29,0.04719403483014971,0.023279141891397542
quantile:tool_transition_entropy,3,3,label_task_type,200,0.675,0.33464132032882166,0.3091489595948475
quantile:tool_transition_entropy,3,3,label_llm_model,200,0.51,0.09780095920523392,0.09014725248413744
quantile:tool_transition_entropy,3,3,label_critical_failure_module,200,0.245,0.03874320895006123,0.011354359543559381
quantile:tool_transition_entropy,3,3,label_failure_type_first,173,0.24855491329479767,0.07853857824656513,0.008959466268864487
quantile:tool_transition_entropy,3,3,label_failure_module_first,200,0.245,0.03874320895006123,0.011354359543559381
oracle:label_task_type,3,3,label_task_type,200,1.0,1.0,1.0
oracle:label_task_type,3,3,label_llm_model,200,0.425,0.01817627606371329,0.024879975898796976
oracle:label_task_type,3,3,label_critical_failure_module,200,0.375,0.17241772605906516,0.09500404544208482
oracle:label_task_type,3,3,label_failure_type_first,173,0.24855491329479767,0.13069036496295516,0.01018554862917551
oracle:label_task_type,3,3,label_failure_module_first,200,0.375,0.17241772605906516,0.09500404544208482
