baseline,n_clusters,n_clusters_target,label,n_labeled,purity,nmi,ari
full_features,4,4,label_framework,73,1.0,0.7082814315600919,0.5987397774500604
full_features,4,4,label_root_cause_category,73,0.3835616438356164,0.32103030988640635,0.09276290617427409
full_features,4,4,label_num_failures,73,0.5068493150684932,0.27846476837305256,0.156974119771291
random,4,4,label_framework,73,0.6164383561643836,0.018914277367447087,-0.0010660141229751152
random,4,4,label_root_cause_category,73,0.3150684931506849,0.21757658625105203,0.030950596969163698
random,4,4,label_num_failures,73,0.4931506849315068,0.1763261571654024,-0.001928461746906332
quantile:n_iters,4,4,label_framework,73,0.684931506849315,0.15593907026283493,0.09126556622722126
quantile:n_iters,4,4,label_root_cause_category,73,0.3561643835616438,0.2214387121021292,0.054411035970384186
quantile:n_iters,4,4,label_num_failures,73,0.5068493150684932,0.2573600050828364,0.09398451998370524
quantile:total_tool_calls,4,4,label_framework,73,0.8356164383561644,0.2951828837669249,0.20819704685363688
quantile:total_tool_calls,4,4,label_root_cause_category,73,0.410958904109589,0.2588114442902497,0.08945505603672488
quantile:total_tool_calls,4,4,label_num_failures,73,0.5205479452054794,0.30236289204571326,0.14232609462478407
quantile:retry_burst_max,4,4,label_framework,73,0.726027397260274,0.17849239559845495,0.11368212011230569
quantile:retry_burst_max,4,4,label_root_cause_category,73,0.3561643835616438,0.21798528499545006,0.045647674038566295
quantile:retry_burst_max,4,4,label_num_failures,73,0.5068493150684932,0.27466466104188464,0.1035052999701792
quantile:tool_transition_entropy,4,4,label_framework,73,0.6438356164383562,0.0574637717241091,0.035052922883797896
quantile:tool_transition_entropy,4,4,label_root_cause_category,73,0.3013698630136986,0.18099185068983098,0.014083710922898793
quantile:tool_transition_entropy,4,4,label_num_failures,73,0.4931506849315068,0.16489820104185296,-0.014513295174612376
oracle:label_framework,2,4,label_framework,73,1.0,1.0,1.0
oracle:label_framework,2,4,label_root_cause_category,73,0.3150684931506849,0.26701447393631733,0.08403571233946704
oracle:label_framework,2,4,label_num_failures,73,0.4931506849315068,0.1584368431685497,0.009770489553672511
