experiment,k,groups,n_features,label,n_labeled,nmi,ari
aftraj_full,12,structural,13,label_mistake_agent,1114,0.5113582043281069,0.2876856225971346
aftraj_full,12,structural,13,label_domain,2276,0.4414474886881066,0.2719657311748839
aftraj_full,12,structural,13,label_unsafe_source,1114,0.2850447191768044,0.22754117019198825
aftraj_full,12,sequential,7,label_mistake_agent,1114,0.4845048763116265,0.28948429045694
aftraj_full,12,sequential,7,label_domain,2276,0.40490500282621666,0.2708443710158261
aftraj_full,12,sequential,7,label_unsafe_source,1114,0.22982589392271377,0.18618534561747296
aftraj_full,12,behavioral,6,label_mistake_agent,1114,0.35829221051566096,0.1892825501500376
aftraj_full,12,behavioral,6,label_domain,2276,0.38451130485106444,0.22833199402203777
aftraj_full,12,behavioral,6,label_unsafe_source,1114,0.18706284228595618,0.17165695790461657
aftraj_full,12,structural+sequential,20,label_mistake_agent,1114,0.5153437461714314,0.289998186781289
aftraj_full,12,structural+sequential,20,label_domain,2276,0.453088581012111,0.2812906207784856
aftraj_full,12,structural+sequential,20,label_unsafe_source,1114,0.29890454805499267,0.2277306703434588
aftraj_full,12,structural+behavioral,19,label_mistake_agent,1114,0.5040874301690659,0.28267102057782595
aftraj_full,12,structural+behavioral,19,label_domain,2276,0.44831861046162497,0.28316576919082537
aftraj_full,12,structural+behavioral,19,label_unsafe_source,1114,0.26460763721840314,0.22107341571048228
aftraj_full,12,sequential+behavioral,13,label_mistake_agent,1114,0.4922472544690515,0.28816051322516156
aftraj_full,12,sequential+behavioral,13,label_domain,2276,0.4418638296253659,0.27729903098129366
aftraj_full,12,sequential+behavioral,13,label_unsafe_source,1114,0.2580805420699907,0.2027015937919024
aftraj_full,12,structural+sequential+behavioral,26,label_mistake_agent,1114,0.5423303006869751,0.3176403518918142
aftraj_full,12,structural+sequential+behavioral,26,label_domain,2276,0.4922352525957545,0.3365071925159206
aftraj_full,12,structural+sequential+behavioral,26,label_unsafe_source,1114,0.3109689345135316,0.24777796890274245
agenterrorbench_full,3,structural,13,label_task_type,200,0.537046061316234,0.4339739213693144
agenterrorbench_full,3,structural,13,label_failure_type_first,173,0.11682853029580297,-0.011346771819235301
agenterrorbench_full,3,sequential,7,label_task_type,200,0.36949350577396817,0.41788257240576376
agenterrorbench_full,3,sequential,7,label_failure_type_first,173,0.11034184840817077,0.011651731376869064
agenterrorbench_full,3,behavioral,6,label_task_type,200,0.23940236325750774,0.17957721176501568
agenterrorbench_full,3,behavioral,6,label_failure_type_first,173,0.06955227363017456,-0.010443777147479728
agenterrorbench_full,3,structural+sequential,20,label_task_type,200,0.5443883392262127,0.6493202867803447
agenterrorbench_full,3,structural+sequential,20,label_failure_type_first,173,0.11124227071343923,-0.00010118919062513336
agenterrorbench_full,3,structural+behavioral,19,label_task_type,200,0.5600849248319562,0.4486544801242757
agenterrorbench_full,3,structural+behavioral,19,label_failure_type_first,173,0.11865625724290577,-0.012816411861667317
agenterrorbench_full,3,sequential+behavioral,13,label_task_type,200,0.43175479857187643,0.5150166103449939
agenterrorbench_full,3,sequential+behavioral,13,label_failure_type_first,173,0.11522212811717032,0.00033338739296370236
agenterrorbench_full,3,structural+sequential+behavioral,26,label_task_type,200,0.536634880843637,0.43383724209728863
agenterrorbench_full,3,structural+sequential+behavioral,26,label_failure_type_first,173,0.11630662159773361,-0.01145411300772356
agentrx_full,4,structural,13,label_framework,73,0.6833751232327444,0.5578633656386052
agentrx_full,4,structural,13,label_root_cause_category,73,0.3448745931172329,0.12507462099096675
agentrx_full,4,sequential,7,label_framework,73,0.596141782334767,0.49805680119581464
agentrx_full,4,sequential,7,label_root_cause_category,73,0.29069352143582816,0.07865604135257377
agentrx_full,4,behavioral,6,label_framework,73,0.33847431897908337,0.24908254248763526
agentrx_full,4,behavioral,6,label_root_cause_category,73,0.2795113748425771,0.10622982327061968
agentrx_full,4,structural+sequential,20,label_framework,73,0.6710373031358458,0.5148631193918958
agentrx_full,4,structural+sequential,20,label_root_cause_category,73,0.34629695693661816,0.1503096001783846
agentrx_full,4,structural+behavioral,19,label_framework,73,0.6638725136604351,0.5908016365594629
agentrx_full,4,structural+behavioral,19,label_root_cause_category,73,0.29160569607956355,0.08603874089796118
agentrx_full,4,sequential+behavioral,13,label_framework,73,0.716725563464073,0.6002280371047309
agentrx_full,4,sequential+behavioral,13,label_root_cause_category,73,0.3303065163797565,0.12093549781848198
agentrx_full,4,structural+sequential+behavioral,26,label_framework,73,0.7082814315600919,0.5987397774500604
agentrx_full,4,structural+sequential+behavioral,26,label_root_cause_category,73,0.32103030988640635,0.09276290617427409
